{'mean': -10.012987012987013, 'median': -11.0, 'count': 154}
{'mean': 0.19135802469135801, 'median': -2.0, 'count': 162}
{'mean': -9.788359788359788, 'median': -11, 'count': 189}
{'mean': -0.2994350282485876, 'median': -1, 'count': 177}
{'mean': -3.4502923976608186, 'median': -4, 'count': 171}
{'mean': -11.15, 'median': -11.0, 'count': 180}
{'mean': -8.148936170212766, 'median': -14, 'count': 141}
{'mean': -12.208791208791208, 'median': -12.0, 'count': 182}
{'mean': 4.626943005181347, 'median': 13, 'count': 193}
{'mean': 3.926829268292683, 'median': 5, 'count': 205}
{'mean': -4.172413793103448, 'median': -9, 'count': 145}
{'mean': 16.378238341968913, 'median': 11, 'count': 193}
{'mean': -8.15625, 'median': -10.0, 'count': 160}
{'mean': -9.34013605442177, 'median': -13, 'count': 147}
{'mean': -3.6440677966101696, 'median': -2, 'count': 177}
{'mean': 9.204081632653061, 'median': 11.0, 'count': 196}
{'mean': -16.982456140350877, 'median': -24, 'count': 171}
{'mean': 16.666666666666668, 'median': 20.5, 'count': 228}
{'mean': 24.72429906542056, 'median': 22.5, 'count': 214}
{'mean': 24.19626168224299, 'median': 12.0, 'count': 214}
{'mean': -13.255813953488373, 'median': -11, 'count': 129}
{'mean': 10.077625570776256, 'median': 10, 'count': 219}
{'mean': -15.434285714285714, 'median': -13, 'count': 175}
{'mean': 33.42056074766355, 'median': 35.5, 'count': 214}
{'mean': -10.902654867256636, 'median': -11, 'count': 113}
{'mean': 8.028708133971293, 'median': 8, 'count': 209}
{'mean': -7.195530726256983, 'median': -5, 'count': 179}
{'mean': -16.22222222222222, 'median': -20, 'count': 153}
{'mean': 7.014851485148514, 'median': 9.0, 'count': 202}
{'mean': -1.3630952380952381, 'median': -5.0, 'count': 168}
{'mean': -3.7754010695187166, 'median': -7, 'count': 187}
{'mean': 24.1, 'median': 30.0, 'count': 210}
{'mean': -14.789473684210526, 'median': -11, 'count': 171}
{'mean': -2.902097902097902, 'median': -3, 'count': 143}
{'mean': -14.02547770700637, 'median': -11, 'count': 157}
